报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),33215,53142,30196,36972,38490,42724,23090,62058,28708,125135,113361,149694,135528,152035,83028,93818,115852,184237,182514,200604,195624,202057,193505,191815,68433,53749,51386,9804,4624,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),115,15,--,--,--,--,30,--,250,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),39713,40547,42449,40451,44867,47916,59583,53036,51811,52667,55230,54206,56567,44162,43915,38347,34873,30889,30476,28461,28636,24262,18796,15161,7304,6637,4944,1263,1206,
预付款项(万元),2683,2543,2998,3538,5236,2037,3415,3030,3308,2475,8257,8461,7665,6325,10191,6545,6521,5411,2003,2170,2807,1918,1313,738,1714,200,158,588,10,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),30,30,--,--,0,1,--,--,--,--,--,--,188,--,450,301,425,733,1141,881,3491,3054,2682,1306,266,437,--,--,--,
应收股利(万元),--,--,--,--,560,560,--,--,--,--,--,--,--,--,--,--,--,--,--,54,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2043,7722,3191,4592,2500,2409,17559,21164,16198,3994,4080,5128,3560,4813,9189,6034,5046,4082,10256,1878,2601,2151,1269,1301,903,2527,1324,292,78,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1474,1460,1493,1477,711,729,835,586,527,485,472,449,433,340,398,312,222,206,283,197,201,175,212,232,9,19,30,7,7,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
