报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),70274,61271,78497,60156,78608,70089,88948,97216,126521,108818,133170,99683,112787,109809,102112,85624,113573,147843,129281,114268,93575,185536,220728,197449,237333,37819,52575,40589,40553,28885,26064,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30000,50000,--,--,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),502,668,666,733,785,724,703,897,716,895,1123,357,368,684,842,351,590,308,109,419,220,1085,732,180,105,414,540,346,1118,133,118,
应收账款(万元),112372,106268,106774,98396,82770,81543,80793,79536,75531,78835,79091,94794,94866,106536,110511,106270,102484,102765,103273,117400,136634,138489,129959,119286,106219,89370,78875,57438,53046,54208,22309,
预付款项(万元),4047,5507,4485,9364,8047,6563,7851,11297,9226,9301,8994,22392,36624,19360,24606,17937,27353,23500,19660,35026,30900,27890,31640,2550,5829,5661,3926,7380,3640,3701,6869,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),4476,4682,4003,3728,3348,3221,2439,2210,2022,1333,1055,474,1045,722,423,254,440,449,526,448,274,2226,1443,1549,878,--,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),3136,3877,3334,4398,5104,5059,5321,5319,5171,6903,5326,7521,6832,4884,3924,6758,7391,5818,6000,4959,5586,4518,4338,3502,3089,2910,2161,2151,1383,1010,29933,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
存货(万元),78767,81322,84854,90211,86839,91816,103741,98360,89805,84361,91863,89956,84564,81818,87732,93975,83961,81633,83425,77437,59797,44466,54236,53329,40506,35039,44387,40001,38471,18874,15644,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他流动资产(万元),60875,110149,89114,85291,90644,108351,99282,72133,58778,102969,85706,42946,47670,50908,55931,56154,44995,19017,50003,4266,4713,9726,5241,5869,4907,3964,5423,1697,2093,12,1,
流动资产合计(万元),334449,373744,371727,352278,356144,367366,389077,366968,367770,393416,406329,358122,384755,374721,386082,367322,380785,381334,392275,384223,381699,413935,448317,383713,398866,175176,187887,149603,140305,106824,100938,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
可供出售金融资产(万元),19800,19800,19800,19800,19800,19800,19800,19800,19800,19800,19800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
长期股权投资(万元),36618,36246,37795,38793,39800,40901,41324,45299,45219,43941,44780,68417,19800,19800,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
投资性房地产(万元),582,588,593,540,545,552,556,755,761,766,772,713,722,723,729,751,751,775,751,775,775,689,775,689,689,694,700,569,--,--,--,
固定资产原值(万元),71532,--,70390,--,64845,--,63296,--,61328,--,60296,--,40279,--,39893,--,38724,--,38171,--,37160,--,35631,--,34751,--,27203,26737,24780,--,--,
累计折旧(万元),23939,--,22255,--,20736,--,19190,--,17952,--,16816,--,15911,--,14607,--,13083,--,11740,--,10745,--,9599,--,8499,--,7447,6553,5681,--,--,
固定资产净值(万元),47593,--,48135,--,44110,--,44106,--,43375,--,43480,--,24368,--,25286,--,25642,--,26431,--,26415,--,26032,--,26252,--,19756,20184,19099,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
固定资产(万元),47593,48037,48135,43892,44110,43855,44106,43285,43375,43642,43480,24553,24368,24884,25286,26088,25642,26190,26431,26478,26415,26598,26032,24546,26252,19832,19756,20184,19099,18771,19627,
在建工程(万元),3256,2928,3169,6126,6356,7200,7543,6518,6343,3931,3269,23567,21154,19443,17746,17257,18010,16770,12750,8819,5102,1293,1007,548,265,14,205,248,8,--,1029,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
