报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),18625,8344,20116,4988,3683,2260,3062,3464,2986,4153,1980,840,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1738,2578,2080,1484,1560,1795,1390,1452,1301,704,578,885,
应收账款(万元),4321,4277,2727,4312,2694,2197,2998,2619,2320,2245,1795,1505,
预付款项(万元),85,95,72,42,19,40,15,54,24,151,57,26,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),23,18,25,4,8,19,29,28,180,--,12,21,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),3775,3438,3665,2989,3350,3229,2933,2451,2762,2445,1998,1536,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),15000,18600,7000,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),43567,37350,35686,13819,11315,9540,10428,10068,9574,9698,6419,4813,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,17989,--,16926,15998,15624,14055,9441,9214,6871,6021,4827,
累计折旧(万元),--,4571,--,4045,3737,3430,2820,2079,1964,1575,1150,712,
固定资产净值(万元),--,13418,--,12881,12261,12194,11235,7362,7250,5296,4872,4115,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),14320,13418,12934,12881,12261,12194,11235,7362,7250,5296,4872,4115,
在建工程(万元),1278,1287,1259,1138,1406,1193,831,1153,1014,337,334,317,
工程物资(万元),256,244,208,161,152,139,158,160,139,99,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2296,2297,2316,2334,2339,2314,2313,2310,2298,689,683,706,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),145,145,145,145,129,110,110,47,34,29,22,16,
其他非流动资产(万元),712,648,585,300,486,823,838,1118,178,1989,133,109,
