报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),488364,579112,561292,297556,292370,504371,519657,308619,284123,433860,451909,314057,310772,437044,511757,310356,291846,361841,226484,77898,117971,250283,144419,121396,132691,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39000,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),252,476,247,367,254,315,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预付款项(万元),1575,2629,1837,2108,1895,1696,1700,1145,1022,1226,728,2573,885,897,2188,2562,766,1778,2066,7279,2620,3695,5578,3434,5374,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),2762,1778,380,745,502,781,207,178,25,102,75,78,124,880,968,1162,229,30,49,--,--,56,--,--,253,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1268,1731,1274,1299,988,1645,625,642,580,640,709,600,645,717,695,469,460,611,541,668,750,618,141,1642,2041,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),61338,60268,104112,79627,70607,81286,93988,78628,72911,74544,99992,84660,75143,81789,115421,78367,66646,73724,101324,76645,73794,85270,70805,60006,59707,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),509390,538691,510301,507470,409728,266510,266642,268124,240289,182904,164062,160294,129706,70404,72233,69735,67329,7517,10636,7245,9634,6553,6587,7874,42461,
流动资产合计(万元),1064949,1184684,1179443,889171,776343,856605,882820,657337,598950,693276,717476,562262,517275,591731,703261,462652,427275,445501,341101,169734,204769,346475,227531,194351,281526,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,10,10,10,10,10,10,10,10,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),440,455,471,486,501,516,531,547,562,577,592,608,623,638,653,669,684,699,714,729,745,604,616,154,160,
固定资产原值(万元),592270,--,591890,--,586273,--,566867,--,503495,--,472946,--,460868,--,432065,--,386486,--,322193,--,307507,283661,239150,140685,--,
累计折旧(万元),248504,--,226926,--,205318,--,183839,--,164588,--,146581,--,128871,--,112197,--,98217,--,86126,--,75017,74889,56878,46912,--,
固定资产净值(万元),343766,--,364965,--,380956,--,383029,--,338907,--,326364,--,331997,--,319868,--,288269,--,236067,--,232489,208772,182272,93773,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),343766,354354,364965,371154,380956,375876,383029,345605,338907,320013,326364,331099,331997,313999,319868,281929,288269,244164,236067,234658,232489,208772,182272,93773,85074,
在建工程(万元),67214,67035,61514,63454,53188,63591,58242,90476,84140,94112,78664,63270,54983,62962,50465,72581,52622,75762,74318,57052,39029,37394,38122,90806,19272,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),14655,14806,14957,15167,15328,15491,14002,14161,14115,14265,14414,14497,14644,14726,14869,11374,11470,7270,8187,8109,8206,13606,13605,13617,13196,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),3227,3227,3227,3177,3177,3177,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,192,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),13203,12403,7862,12229,11091,8029,5733,6975,7921,6992,9890,8137,8741,7511,8462,5931,5526,5735,6551,5054,4511,4159,3008,1740,1353,
其他非流动资产(万元),1154,1154,1154,154,154,154,275,616,616,800,671,616,616,465,753,3991,2058,4057,5264,--,--,--,--,--,--,
非流动资产合计(万元),443670,453445,454159,465831,464404,466844,463539,460107,447987,438487,432324,419955,413331,402028,396798,378203,362357,337696,331112,305613,284991,264545,237632,200291,119065,
