报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2011-12-31,
货币资金(万元),1124650,1155444,1102986,1285137,1172053,1134943,1114517,1098380,1175395,945500,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),92476,102325,84164,54109,38731,36472,6494,--,--,81792,
交易性金融资产(万元),64129,11805,3685,--,7072,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),45087,38193,30132,31493,29922,26543,33572,31647,30834,26751,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),139960,74450,0,10000,39950,--,113387,--,9500,69800,
存货(万元),--,--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),--,0,--,0,--,--,--,--,--,--,
发放贷款及垫款(万元),4674785,4607196,4525168,4392675,4347407,4217168,3955048,3668432,3274844,2533392,
可供出售金融资产(万元),1335462,1230692,1114345,885102,886022,600534,728484,238485,191824,69756,
持有至到期投资(万元),717067,666256,596041,672599,672442,668336,623551,531398,546434,417318,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),86919,84819,66240,64980,67242,63549,61504,58979,55143,43032,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,134328,--,132352,--,126946,118300,110093,106483,--,
累计折旧(万元),--,63632,--,58903,--,54587,50438,42887,35574,--,
固定资产净值(万元),--,70696,--,73450,--,72359,67862,67206,70909,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),69565,70696,71249,73450,107204,72359,67862,67206,70909,72484,
在建工程(万元),57645,55274,42263,36375,--,32592,30826,30095,12683,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),16283,16221,16034,16475,15906,15691,15972,16004,18141,12557,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),40841,36245,33917,34955,30902,31289,30369,31151,24644,11461,
其他非流动资产(万元),36187,62826,45644,34184,36640,30555,24073,23738,25545,57659,
非流动资产合计(万元),--,0,--,0,--,--,--,--,--,--,
资产总计(万元),8743300,8466360,8255887,8134836,7785579,7787405,7145254,6194550,6248347,5400318,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),54632,52542,35303,14327,7182,1787,--,2165,5100,4000,
吸收存款及同业存放(万元),6825602,6848398,6577018,6590635,6405621,6188885,5720945,5242546,5154939,4663121,
拆入资金(万元),5310,--,3450,--,--,--,--,--,1219,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,--,--,--,--,--,--,--,--,--,
预收账款(万元),--,--,--,--,--,--,--,--,--,--,
卖出回购金融资产款(万元),599180,490144,613808,576960,493700,619100,556756,187000,405978,124400,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),27353,24138,22319,28119,27575,26476,28817,28677,27660,19388,
应交税费(万元),8461,6028,6652,6461,4655,7023,4834,16259,10926,12581,
应付利息(万元),106130,100169,93575,97558,89872,83725,87785,79122,62991,38723,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,--,--,--,--,--,--,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
