报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),21293,24459,9055,12384,22277,18227,20513,17669,22593,11005,6123,14603,36916,13834,11186,16498,9639,9161,7377,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1970,858,286,4804,1870,333,1214,2148,516,1536,2885,2249,906,2527,1011,210,50,201,1985,
应收账款(万元),20924,24209,23359,22469,22850,24339,17314,20344,17708,16900,17283,19861,18959,16995,17559,20956,16114,12839,10156,
预付款项(万元),11002,11668,12989,9313,12140,12905,9273,6462,10391,6216,6120,6648,7515,4045,4728,3369,3257,3527,5150,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),99,431,60,70,72,64,102,132,170,62,144,155,172,59,51,52,63,329,89,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),17272,16997,17459,12190,16449,13843,14821,13561,11526,8826,12350,13721,16505,11755,9988,11590,10003,7615,4639,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),6500,3835,6586,6900,4100,8769,8500,15269,11000,17100,18108,15652,116,200,1946,--,110,130,--,
流动资产合计(万元),79059,82456,69793,68130,79758,78480,71737,75585,73904,61645,63012,72889,81091,49415,46469,52674,39236,33802,29396,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,19412,--,17534,--,17395,--,17029,--,16941,--,16444,--,16130,16020,15507,15498,15050,9780,
累计折旧(万元),--,10628,--,10012,--,9418,--,8831,--,8255,--,7670,--,7106,6854,6586,6089,5025,4107,
固定资产净值(万元),--,8784,--,7521,--,7977,--,8198,--,8686,--,8774,--,9024,9166,8921,9409,10025,5673,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),8495,8784,7913,7521,7700,7977,7894,8198,8457,8686,8436,8774,8853,9024,9166,8921,9409,10025,5673,
在建工程(万元),1273,1157,1720,2096,2096,1747,890,25,25,25,248,235,161,52,--,--,--,--,3203,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1905,1918,1931,1944,1957,1969,1982,1995,2008,2021,2034,2047,2059,2072,2085,2098,2124,2175,2227,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),201,227,232,222,224,224,175,199,175,160,171,190,170,159,162,188,150,125,100,
其他非流动资产(万元),58,123,140,339,166,175,251,1711,1686,1609,250,90,112,112,132,318,89,98,323,
非流动资产合计(万元),11932,12208,11936,12121,12142,12092,11193,12128,12352,12500,11139,11334,11356,11419,11545,11524,11772,12423,11526,
资产总计(万元),90991,94664,81729,80251,91900,90572,82930,87713,86255,74145,74151,84224,92446,60834,58014,64198,51008,46225,40922,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,3500,6500,5000,6500,5000,9086,5265,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),12786,14852,6078,5976,15639,14735,9364,14704,12091,1930,3304,13761,16850,10894,11028,17060,8836,5520,7900,
应付账款(万元),4483,5735,5085,5313,4307,5347,5933,6597,5358,4962,5600,6293,8697,3827,3399,3891,3235,2847,2956,
预收账款(万元),137,151,127,99,103,217,86,110,95,159,223,115,95,69,84,90,59,79,197,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),209,581,209,336,215,386,193,300,323,428,276,233,299,409,301,297,342,275,262,
应交税费(万元),736,936,208,484,640,1016,554,777,936,1044,792,597,1137,893,1143,832,767,568,904,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),30,28,29,23,44,25,29,22,22,19,16,27,12,13,10,10,11,6,10,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
