报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),56313,59070,68810,68591,22250,27947,12168,13568,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,99,--,963,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),33900,24202,31802,48429,32724,22480,15626,20174,
应收账款(万元),179825,163688,155313,138523,91265,67965,85102,80552,
预付款项(万元),6760,4353,5335,3557,4084,3495,5231,1274,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,521,1961,670,2301,1385,4385,
其他应收款(万元),1867,1773,1622,1313,2540,666,452,962,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),105923,105176,99348,87001,63872,76315,45914,35024,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),10178,2769,2022,4317,16150,22395,10046,519,
流动资产合计(万元),394766,361030,364773,353792,233555,224527,175923,156458,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3037,3037,3037,3037,3000,3000,3000,3000,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),47279,43501,40621,39443,45352,37204,30958,25918,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),2537,2568,2559,2614,2918,1552,1232,2477,
固定资产原值(万元),--,91764,--,87426,--,--,--,--,
累计折旧(万元),--,35160,--,32433,--,--,--,--,
固定资产净值(万元),--,56604,--,54993,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),58972,56604,54069,54993,42427,37972,30620,29528,
在建工程(万元),11584,9336,10895,6344,4680,2851,3649,1290,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),22960,23097,23014,23139,8574,7172,7418,6788,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),78,78,78,78,--,--,505,505,
长期待摊费用(万元),190,199,154,154,230,205,227,306,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),3982,4103,3976,3893,2367,1385,1592,1457,
其他非流动资产(万元),3933,6340,5999,5451,1340,2183,173,228,
非流动资产合计(万元),154552,148862,144401,139144,110889,93525,79374,71498,
资产总计(万元),549317,509892,509173,492936,344443,318052,255298,227956,
短期借款(万元),147639,133591,123365,27243,56139,18491,29353,41471,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),881,1067,312,--,420,--,1273,203,
衍生金融负债(万元),--,--,--,--,--,--,--,91,
应付票据(万元),28804,21920,29959,32751,27309,35990,14174,14141,
应付账款(万元),58740,59354,60860,55601,36036,34076,30291,19687,
预收账款(万元),8609,15707,15396,17141,11121,9173,8095,2981,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),8019,6652,4140,9192,8357,7468,4971,3868,
应交税费(万元),6293,4542,10561,6309,4358,2199,3659,2786,
应付利息(万元),188,294,231,81,47,48,5,19,
应付股利(万元),--,--,--,90720,--,75149,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),5527,426,456,467,230,146,4115,242,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),35000,35000,--,--,15000,--,8000,9000,
其他流动负债(万元),--,--,9389,9343,--,--,--,--,
流动负债合计(万元),299700,278553,254670,248847,159017,182738,103936,94489,
长期借款(万元),--,--,35000,35000,--,19000,--,8000,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),43900,43900,43900,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),2166,2396,2259,2284,2219,1897,1201,1336,
长期递延收益(万元),6666,6712,6759,6806,1477,543,793,1193,
递延所得税负债(万元),13,13,14,30,--,--,--,--,
其他非流动负债(万元),--,--,--,43900,--,--,--,--,
非流动负债合计(万元),52744,53021,87932,88020,3696,21439,1995,10529,
负债合计(万元),352444,331574,342602,336867,162713,204178,105931,105018,
实收资本(或股本)(万元),37800,37800,37800,37800,37800,37800,30000,30000,
资本公积(万元),43781,43781,43781,43781,43977,43977,49887,49887,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),25170,25170,25170,25170,18875,12505,7293,4714,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),83833,65519,53883,43618,76259,15368,58772,35549,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),190573,172239,160661,150360,176909,109647,145952,120059,
少数股东权益(万元),6300,6079,5910,5710,4821,4227,3414,2879,
所有者权益(或股东权益)合计(万元),196873,178318,166571,156070,181730,113874,149367,122938,
负债和所有者权益(或股东权益)总计(万元),549317,509892,509173,492936,344443,318052,255298,227956,		
  
