报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),77507,92508,40969,29904,27749,47543,25756,19483,12507,14180,15836,10467,9024,18012,9543,4879,13128,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,250,--,--,80,140,240,70,40,--,30,210,105,
应收账款(万元),11018,11525,9558,6486,4040,3388,3870,2578,2551,2526,4168,3402,2356,2416,2546,2115,1905,
预付款项(万元),3134,3009,3739,2126,1653,1567,4526,2477,2851,2416,3740,2608,3981,2433,2437,1406,2096,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,74,70,143,192,246,164,--,--,24,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1069,439,815,651,516,366,658,585,693,570,912,746,1234,987,1653,386,504,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),20750,19434,19140,15763,18579,17073,16083,14276,15546,14121,13252,12387,12493,11718,10680,11120,10214,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4312,126,46828,52851,54495,27133,51730,55025,53026,52379,47925,48458,3490,5,13782,7640,--,
流动资产合计(万元),117790,127042,121049,107781,107032,97320,102696,94494,87396,86525,86318,78302,32618,35572,40695,27757,27952,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,9032,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,500,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,78754,--,61499,--,60316,--,56843,--,55693,--,52634,--,51550,47214,--,--,
累计折旧(万元),--,23837,--,22081,--,20439,--,18666,--,16967,--,15319,--,13770,11057,--,--,
固定资产净值(万元),--,54917,--,39418,--,39878,--,38177,--,38725,--,37315,--,37781,36157,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),54269,54917,54420,39418,39977,39878,38208,38177,38462,38725,38024,37315,37142,37781,36157,34482,13838,
在建工程(万元),4031,862,279,8920,5429,4922,1622,326,602,602,353,459,60,62,200,679,14283,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),20803,20954,21034,21087,21105,19454,19255,19258,19254,19271,19445,19475,19581,19704,19935,20347,22432,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1673,1748,1818,1587,1776,1967,1936,1915,1925,2076,2098,2163,2186,1980,799,2151,2865,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1131,1169,1069,1042,1090,1103,1428,1352,1267,1174,1071,1100,979,992,1050,987,654,
其他非流动资产(万元),4471,3667,2418,6796,4008,3518,--,--,--,--,--,943,--,--,--,5,--,
非流动资产合计(万元),86377,83318,81039,78850,73383,79873,62449,61027,61510,61847,60992,61454,59948,60519,58141,58652,54572,
资产总计(万元),204167,210360,202088,186631,180415,177193,165146,155522,148906,148372,147310,139757,92567,96091,98837,86409,82524,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,2500,1500,6000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),13264,19056,18433,13988,10556,15361,11621,11105,9160,9167,10215,8876,7938,7048,7573,5240,6225,
预收账款(万元),8025,8225,11048,7086,10244,8866,6968,4072,5348,4985,3132,2702,3194,2832,3245,3357,3327,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4496,5144,4231,3947,3852,4798,3952,3734,3729,5223,4420,4251,3789,4061,4080,4085,3634,
应交税费(万元),2095,3589,1543,2371,1493,1715,2755,2898,1588,2420,2558,2328,1796,3333,2915,2537,2099,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,7,1,--,21,35,38,39,
