报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),8892,3996,9411,12106,4852,13914,50434,21466,21216,22041,18233,19663,19243,29185,18115,17336,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),101,--,--,--,--,--,--,--,--,8,11,17,192,497,741,102,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),16527,8480,6151,6375,6362,5510,7528,8910,7390,7644,7597,5725,2751,4050,3419,1440,
应收账款(万元),75498,79417,76223,82197,72182,70723,74632,67987,68057,65343,55152,42009,40444,41828,28984,40178,
预付款项(万元),11508,11716,11009,15998,13632,14080,11824,7037,6899,2461,2517,10063,10085,6823,15613,13794,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),120,120,131,--,--,125,125,--,--,1206,786,784,784,--,--,--,
其他应收款(万元),4734,3150,2667,2841,4344,4071,3944,2542,3289,2899,2781,2521,4225,2632,2060,1611,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),55959,44776,38530,31040,35402,30647,30177,29487,32715,25896,22244,21895,26366,21024,25705,22047,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),18500,28500,27000,28000,26200,15000,--,--,2,--,--,14,--,--,--,--,
流动资产合计(万元),191839,180154,171122,178557,162975,154070,178664,137430,139568,127498,109320,102691,104091,106039,94638,96507,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),15888,15688,15498,15668,15378,15346,15351,15830,15561,9616,9145,6998,5998,6805,6072,5030,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,71206,--,71048,--,70376,--,69934,69290,29225,--,--,17673,--,--,--,
累计折旧(万元),--,15736,--,14687,--,13746,--,12972,10925,9582,--,--,7236,--,--,--,
固定资产净值(万元),--,55470,--,56361,--,56630,--,56962,58365,19644,--,--,10437,--,--,--,
固定资产减值准备(万元),--,396,--,396,--,397,--,397,401,404,--,--,407,--,--,--,
固定资产(万元),83841,55073,55490,55964,55917,56233,56301,56565,57965,19239,15428,10501,10030,10412,10267,10666,
在建工程(万元),7790,7519,6579,6045,4893,4901,4776,4773,92,35112,26342,19393,3444,3366,53,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
